brand_model_year,family car,fuel-efficient car,comfortable car,luxury car,sporty car,quiet car,commuter car,stylish car,affordable car,compact car,spacious car,sexy car
LEXUS IS-200T 2016,0.0,0.3333333333333333,1.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
LEXUS IS-300 2016,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0
LEXUS IS-350 2016,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
LEXUS LS-460 2016,0.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS LX-570 2016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS NX-200T 2016,0.08333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0
LEXUS NX-200T 2017,0.0,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
LEXUS NX-300H 2016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
LEXUS NX-300H 2017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS RC-200T 2016,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
LEXUS RC-300 2016,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS RC-350 2016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS RX-350 2016,0.08333333333333333,0.5833333333333334,1.0,0.3333333333333333,0.5,1.0,0.08333333333333333,0.25,0.25,0.3333333333333333,0.25,0.0
LEXUS RX-350 2017,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LEXUS RX-450H 2016,0.0,0.0,0.14285714285714285,1.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0
LINCOLN CONTINENTAL 2017,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
LINCOLN MKC 2016,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0
LINCOLN MKC 2017,0.0,1.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
LINCOLN MKS 2016,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
LINCOLN MKX 2016,0.0,0.25,1.0,0.3333333333333333,0.0,0.5833333333333334,0.0,0.0,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.0
LINCOLN MKZ 2016,0.0,0.0,0.3333333333333333,1.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0
LINCOLN MKZ 2017,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
LINCOLN NAVIGATOR 2016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
MASERATI GHIBLI 2016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
